Phoneme,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ø̠,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,-,+,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ts͇,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
õ̞ũ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,"-,+",-,-,+,+,-,-,+,-,-,-,0,-,-,0
hˀ,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
ɺ̠̰,0,-,-,-,-,+,+,+,0,+,+,-,-,+,-,0,0,+,-,+,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
ã̰,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0
e̞̰,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,0,-,-,+,-,-,+,0,-,-,0
ẽ̞̰,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,+,-,0,-,-,+,-,-,+,0,-,-,0
ḭ̃,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,+,0,-,-,0
o̞̰,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,-,-,+,-,-,+,0,-,-,0
õ̞̰,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,0,-,-,+,-,-,+,0,-,-,0
kǀ͓ˠʰ,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,-,-,0,0,"-,+",+,+,-,+,+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
kǁ͓xʰ,0,-,-,-,-,+,-,"-,-,+","-,+,+",-,-,-,-,"-,+,-",-,0,0,"-,+,-",+,-,-,"+,-,+",+,-,-,-,0,0,0,-,-,"-,-,+",-,-,-,-,"-,+,-"
kǃxʰ,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",+,-,-,"+,-,+",+,-,-,-,0,0,0,-,-,"-,-,+",-,-,-,-,"-,+,-"
kǃ̠xʰ,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,-,-,"-,-,+",-,-,-,-,"-,+,-"
ŋ̥ǁ͓ʰ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-","-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
ŋ̥ǃ̠ʰ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
ndʑ,0,-,-,-,-,+,"+,-,-","-,-,+","0,-,+",-,-,-,"+,-,-",-,-,0,0,+,+,"-,-,+","-,-,+","-,-,+",+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
n̪d̪z̪,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɸ̞,0,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
d̪z̪̤|dz̤,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,0,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
n̪̤|n̤,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,0,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ɟ̰,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,+,-,-,-,-
